"District","FIPS","Year","Grade","Subject","Variable","Measure Type","Value"
"Mansfield School District","","2014-2015","All","ELA","Total Number of Students","Number","782"
"Mansfield School District","","2014-2015","All","Math","Total Number of Students","Number","784"
"Mansfield School District","","2014-2015","Grade 11","ELA","Total Number of Students","Number","-6666"
"Mansfield School District","","2014-2015","Grade 11","Math","Total Number of Students","Number","-6666"
"Mansfield School District","","2014-2015","Grade 3","ELA","Total Number of Students","Number","135"
"Mansfield School District","","2014-2015","Grade 3","Math","Total Number of Students","Number","136"
"Mansfield School District","","2014-2015","Grade 4","ELA","Total Number of Students","Number","132"
"Mansfield School District","","2014-2015","Grade 4","Math","Total Number of Students","Number","133"
"Mansfield School District","","2014-2015","Grade 5","ELA","Total Number of Students","Number","114"
"Mansfield School District","","2014-2015","Grade 5","Math","Total Number of Students","Number","114"
"Mansfield School District","","2014-2015","Grade 6","ELA","Total Number of Students","Number","126"
"Mansfield School District","","2014-2015","Grade 6","Math","Total Number of Students","Number","126"
"Mansfield School District","","2014-2015","Grade 7","ELA","Total Number of Students","Number","140"
"Mansfield School District","","2014-2015","Grade 7","Math","Total Number of Students","Number","140"
"Mansfield School District","","2014-2015","Grade 8","ELA","Total Number of Students","Number","135"
"Mansfield School District","","2014-2015","Grade 8","Math","Total Number of Students","Number","135"
"Mansfield School District","","2014-2015","All","ELA","Total Number Tested","Number","723"
"Mansfield School District","","2014-2015","All","Math","Total Number Tested","Number","735"
"Mansfield School District","","2014-2015","Grade 11","ELA","Total Number Tested","Number","-6666"
"Mansfield School District","","2014-2015","Grade 11","Math","Total Number Tested","Number","-6666"
"Mansfield School District","","2014-2015","Grade 3","ELA","Total Number Tested","Number","127"
"Mansfield School District","","2014-2015","Grade 3","Math","Total Number Tested","Number","131"
"Mansfield School District","","2014-2015","Grade 4","ELA","Total Number Tested","Number","128"
"Mansfield School District","","2014-2015","Grade 4","Math","Total Number Tested","Number","130"
"Mansfield School District","","2014-2015","Grade 5","ELA","Total Number Tested","Number","112"
"Mansfield School District","","2014-2015","Grade 5","Math","Total Number Tested","Number","112"
"Mansfield School District","","2014-2015","Grade 6","ELA","Total Number Tested","Number","118"
"Mansfield School District","","2014-2015","Grade 6","Math","Total Number Tested","Number","119"
"Mansfield School District","","2014-2015","Grade 7","ELA","Total Number Tested","Number","114"
"Mansfield School District","","2014-2015","Grade 7","Math","Total Number Tested","Number","115"
"Mansfield School District","","2014-2015","Grade 8","ELA","Total Number Tested","Number","124"
"Mansfield School District","","2014-2015","Grade 8","Math","Total Number Tested","Number","128"
"Mansfield School District","","2014-2015","All","ELA","Smarter Balanced Participation Rate","Percent","92.5"
"Mansfield School District","","2014-2015","All","Math","Smarter Balanced Participation Rate","Percent","93.8"
"Mansfield School District","","2014-2015","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Mansfield School District","","2014-2015","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Mansfield School District","","2014-2015","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","94.1"
"Mansfield School District","","2014-2015","Grade 3","Math","Smarter Balanced Participation Rate","Percent","96.3"
"Mansfield School District","","2014-2015","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","97"
"Mansfield School District","","2014-2015","Grade 4","Math","Smarter Balanced Participation Rate","Percent","97.7"
"Mansfield School District","","2014-2015","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","98.2"
"Mansfield School District","","2014-2015","Grade 5","Math","Smarter Balanced Participation Rate","Percent","98.2"
"Mansfield School District","","2014-2015","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","93.7"
"Mansfield School District","","2014-2015","Grade 6","Math","Smarter Balanced Participation Rate","Percent","94.4"
"Mansfield School District","","2014-2015","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","81.4"
"Mansfield School District","","2014-2015","Grade 7","Math","Smarter Balanced Participation Rate","Percent","82.1"
"Mansfield School District","","2014-2015","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","91.9"
"Mansfield School District","","2014-2015","Grade 8","Math","Smarter Balanced Participation Rate","Percent","94.8"
"Mansfield School District","","2014-2015","All","ELA","Total Number with Scored Tests","Number","722"
"Mansfield School District","","2014-2015","All","Math","Total Number with Scored Tests","Number","733"
"Mansfield School District","","2014-2015","Grade 11","ELA","Total Number with Scored Tests","Number","-6666"
"Mansfield School District","","2014-2015","Grade 11","Math","Total Number with Scored Tests","Number","-6666"
"Mansfield School District","","2014-2015","Grade 3","ELA","Total Number with Scored Tests","Number","127"
"Mansfield School District","","2014-2015","Grade 3","Math","Total Number with Scored Tests","Number","131"
"Mansfield School District","","2014-2015","Grade 4","ELA","Total Number with Scored Tests","Number","128"
"Mansfield School District","","2014-2015","Grade 4","Math","Total Number with Scored Tests","Number","130"
"Mansfield School District","","2014-2015","Grade 5","ELA","Total Number with Scored Tests","Number","111"
"Mansfield School District","","2014-2015","Grade 5","Math","Total Number with Scored Tests","Number","112"
"Mansfield School District","","2014-2015","Grade 6","ELA","Total Number with Scored Tests","Number","118"
"Mansfield School District","","2014-2015","Grade 6","Math","Total Number with Scored Tests","Number","119"
"Mansfield School District","","2014-2015","Grade 7","ELA","Total Number with Scored Tests","Number","114"
"Mansfield School District","","2014-2015","Grade 7","Math","Total Number with Scored Tests","Number","114"
"Mansfield School District","","2014-2015","Grade 8","ELA","Total Number with Scored Tests","Number","124"
"Mansfield School District","","2014-2015","Grade 8","Math","Total Number with Scored Tests","Number","127"
"Mansfield School District","","2014-2015","All","ELA","AverageVSS","Number","-6666"
"Mansfield School District","","2014-2015","All","Math","AverageVSS","Number","-6666"
"Mansfield School District","","2014-2015","Grade 11","ELA","AverageVSS","Number","-6666"
"Mansfield School District","","2014-2015","Grade 11","Math","AverageVSS","Number","-6666"
"Mansfield School District","","2014-2015","Grade 3","ELA","AverageVSS","Number","2482"
"Mansfield School District","","2014-2015","Grade 3","Math","AverageVSS","Number","2476"
"Mansfield School District","","2014-2015","Grade 4","ELA","AverageVSS","Number","2544"
"Mansfield School District","","2014-2015","Grade 4","Math","AverageVSS","Number","2535"
"Mansfield School District","","2014-2015","Grade 5","ELA","AverageVSS","Number","2574"
"Mansfield School District","","2014-2015","Grade 5","Math","AverageVSS","Number","2560"
"Mansfield School District","","2014-2015","Grade 6","ELA","AverageVSS","Number","2573"
"Mansfield School District","","2014-2015","Grade 6","Math","AverageVSS","Number","2555"
"Mansfield School District","","2014-2015","Grade 7","ELA","AverageVSS","Number","2631"
"Mansfield School District","","2014-2015","Grade 7","Math","AverageVSS","Number","2634"
"Mansfield School District","","2014-2015","Grade 8","ELA","AverageVSS","Number","2638"
"Mansfield School District","","2014-2015","Grade 8","Math","AverageVSS","Number","2623"
"Mansfield School District","","2015-2016","All","ELA","Total Number of Students","Number","815"
"Mansfield School District","","2015-2016","All","Math","Total Number of Students","Number","816"
"Mansfield School District","","2015-2016","Grade 11","ELA","Total Number of Students","Number","-6666"
"Mansfield School District","","2015-2016","Grade 11","Math","Total Number of Students","Number","-6666"
"Mansfield School District","","2015-2016","Grade 3","ELA","Total Number of Students","Number","146"
"Mansfield School District","","2015-2016","Grade 3","Math","Total Number of Students","Number","147"
"Mansfield School District","","2015-2016","Grade 4","ELA","Total Number of Students","Number","139"
"Mansfield School District","","2015-2016","Grade 4","Math","Total Number of Students","Number","139"
"Mansfield School District","","2015-2016","Grade 5","ELA","Total Number of Students","Number","139"
"Mansfield School District","","2015-2016","Grade 5","Math","Total Number of Students","Number","139"
"Mansfield School District","","2015-2016","Grade 6","ELA","Total Number of Students","Number","122"
"Mansfield School District","","2015-2016","Grade 6","Math","Total Number of Students","Number","122"
"Mansfield School District","","2015-2016","Grade 7","ELA","Total Number of Students","Number","129"
"Mansfield School District","","2015-2016","Grade 7","Math","Total Number of Students","Number","129"
"Mansfield School District","","2015-2016","Grade 8","ELA","Total Number of Students","Number","140"
"Mansfield School District","","2015-2016","Grade 8","Math","Total Number of Students","Number","140"
"Mansfield School District","","2015-2016","All","ELA","Total Number Tested","Number","760"
"Mansfield School District","","2015-2016","All","Math","Total Number Tested","Number","761"
"Mansfield School District","","2015-2016","Grade 11","ELA","Total Number Tested","Number","-6666"
"Mansfield School District","","2015-2016","Grade 11","Math","Total Number Tested","Number","-6666"
"Mansfield School District","","2015-2016","Grade 3","ELA","Total Number Tested","Number","140"
"Mansfield School District","","2015-2016","Grade 3","Math","Total Number Tested","Number","140"
"Mansfield School District","","2015-2016","Grade 4","ELA","Total Number Tested","Number","133"
"Mansfield School District","","2015-2016","Grade 4","Math","Total Number Tested","Number","133"
"Mansfield School District","","2015-2016","Grade 5","ELA","Total Number Tested","Number","127"
"Mansfield School District","","2015-2016","Grade 5","Math","Total Number Tested","Number","128"
"Mansfield School District","","2015-2016","Grade 6","ELA","Total Number Tested","Number","119"
"Mansfield School District","","2015-2016","Grade 6","Math","Total Number Tested","Number","119"
"Mansfield School District","","2015-2016","Grade 7","ELA","Total Number Tested","Number","113"
"Mansfield School District","","2015-2016","Grade 7","Math","Total Number Tested","Number","113"
"Mansfield School District","","2015-2016","Grade 8","ELA","Total Number Tested","Number","128"
"Mansfield School District","","2015-2016","Grade 8","Math","Total Number Tested","Number","128"
"Mansfield School District","","2015-2016","All","ELA","Smarter Balanced Participation Rate","Percent","93.3"
"Mansfield School District","","2015-2016","All","Math","Smarter Balanced Participation Rate","Percent","93.3"
"Mansfield School District","","2015-2016","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Mansfield School District","","2015-2016","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Mansfield School District","","2015-2016","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","95.9"
"Mansfield School District","","2015-2016","Grade 3","Math","Smarter Balanced Participation Rate","Percent","95.2"
"Mansfield School District","","2015-2016","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","95.7"
"Mansfield School District","","2015-2016","Grade 4","Math","Smarter Balanced Participation Rate","Percent","95.7"
"Mansfield School District","","2015-2016","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","91.4"
"Mansfield School District","","2015-2016","Grade 5","Math","Smarter Balanced Participation Rate","Percent","92.1"
"Mansfield School District","","2015-2016","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","97.5"
"Mansfield School District","","2015-2016","Grade 6","Math","Smarter Balanced Participation Rate","Percent","97.5"
"Mansfield School District","","2015-2016","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","87.6"
"Mansfield School District","","2015-2016","Grade 7","Math","Smarter Balanced Participation Rate","Percent","87.6"
"Mansfield School District","","2015-2016","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","91.4"
"Mansfield School District","","2015-2016","Grade 8","Math","Smarter Balanced Participation Rate","Percent","91.4"
"Mansfield School District","","2015-2016","All","ELA","Total Number with Scored Tests","Number","760"
"Mansfield School District","","2015-2016","All","Math","Total Number with Scored Tests","Number","761"
"Mansfield School District","","2015-2016","Grade 11","ELA","Total Number with Scored Tests","Number","-6666"
"Mansfield School District","","2015-2016","Grade 11","Math","Total Number with Scored Tests","Number","-6666"
"Mansfield School District","","2015-2016","Grade 3","ELA","Total Number with Scored Tests","Number","140"
"Mansfield School District","","2015-2016","Grade 3","Math","Total Number with Scored Tests","Number","140"
"Mansfield School District","","2015-2016","Grade 4","ELA","Total Number with Scored Tests","Number","133"
"Mansfield School District","","2015-2016","Grade 4","Math","Total Number with Scored Tests","Number","133"
"Mansfield School District","","2015-2016","Grade 5","ELA","Total Number with Scored Tests","Number","127"
"Mansfield School District","","2015-2016","Grade 5","Math","Total Number with Scored Tests","Number","128"
"Mansfield School District","","2015-2016","Grade 6","ELA","Total Number with Scored Tests","Number","119"
"Mansfield School District","","2015-2016","Grade 6","Math","Total Number with Scored Tests","Number","119"
"Mansfield School District","","2015-2016","Grade 7","ELA","Total Number with Scored Tests","Number","113"
"Mansfield School District","","2015-2016","Grade 7","Math","Total Number with Scored Tests","Number","113"
"Mansfield School District","","2015-2016","Grade 8","ELA","Total Number with Scored Tests","Number","128"
"Mansfield School District","","2015-2016","Grade 8","Math","Total Number with Scored Tests","Number","128"
"Mansfield School District","","2015-2016","All","ELA","AverageVSS","Number","-6666"
"Mansfield School District","","2015-2016","All","Math","AverageVSS","Number","-6666"
"Mansfield School District","","2015-2016","Grade 11","ELA","AverageVSS","Number","-6666"
"Mansfield School District","","2015-2016","Grade 11","Math","AverageVSS","Number","-6666"
"Mansfield School District","","2015-2016","Grade 3","ELA","AverageVSS","Number","2495"
"Mansfield School District","","2015-2016","Grade 3","Math","AverageVSS","Number","2489"
"Mansfield School District","","2015-2016","Grade 4","ELA","AverageVSS","Number","2520"
"Mansfield School District","","2015-2016","Grade 4","Math","AverageVSS","Number","2534"
"Mansfield School District","","2015-2016","Grade 5","ELA","AverageVSS","Number","2559"
"Mansfield School District","","2015-2016","Grade 5","Math","AverageVSS","Number","2548"
"Mansfield School District","","2015-2016","Grade 6","ELA","AverageVSS","Number","2588"
"Mansfield School District","","2015-2016","Grade 6","Math","AverageVSS","Number","2585"
"Mansfield School District","","2015-2016","Grade 7","ELA","AverageVSS","Number","2607"
"Mansfield School District","","2015-2016","Grade 7","Math","AverageVSS","Number","2601"
"Mansfield School District","","2015-2016","Grade 8","ELA","AverageVSS","Number","2645"
"Mansfield School District","","2015-2016","Grade 8","Math","AverageVSS","Number","2644"
"Marlborough School District","","2014-2015","All","ELA","Total Number of Students","Number","367"
"Marlborough School District","","2014-2015","All","Math","Total Number of Students","Number","367"
"Marlborough School District","","2014-2015","Grade 11","ELA","Total Number of Students","Number","-6666"
"Marlborough School District","","2014-2015","Grade 11","Math","Total Number of Students","Number","-6666"
"Marlborough School District","","2014-2015","Grade 3","ELA","Total Number of Students","Number","97"
"Marlborough School District","","2014-2015","Grade 3","Math","Total Number of Students","Number","97"
"Marlborough School District","","2014-2015","Grade 4","ELA","Total Number of Students","Number","95"
"Marlborough School District","","2014-2015","Grade 4","Math","Total Number of Students","Number","95"
"Marlborough School District","","2014-2015","Grade 5","ELA","Total Number of Students","Number","77"
"Marlborough School District","","2014-2015","Grade 5","Math","Total Number of Students","Number","77"
"Marlborough School District","","2014-2015","Grade 6","ELA","Total Number of Students","Number","98"
"Marlborough School District","","2014-2015","Grade 6","Math","Total Number of Students","Number","98"
"Marlborough School District","","2014-2015","Grade 7","ELA","Total Number of Students","Number","-6666"
"Marlborough School District","","2014-2015","Grade 7","Math","Total Number of Students","Number","-6666"
"Marlborough School District","","2014-2015","Grade 8","ELA","Total Number of Students","Number","-6666"
"Marlborough School District","","2014-2015","Grade 8","Math","Total Number of Students","Number","-6666"
"Marlborough School District","","2014-2015","All","ELA","Total Number Tested","Number","366"
"Marlborough School District","","2014-2015","All","Math","Total Number Tested","Number","366"
"Marlborough School District","","2014-2015","Grade 11","ELA","Total Number Tested","Number","-6666"
"Marlborough School District","","2014-2015","Grade 11","Math","Total Number Tested","Number","-6666"
"Marlborough School District","","2014-2015","Grade 3","ELA","Total Number Tested","Number","96"
"Marlborough School District","","2014-2015","Grade 3","Math","Total Number Tested","Number","96"
"Marlborough School District","","2014-2015","Grade 4","ELA","Total Number Tested","Number","95"
"Marlborough School District","","2014-2015","Grade 4","Math","Total Number Tested","Number","95"
"Marlborough School District","","2014-2015","Grade 5","ELA","Total Number Tested","Number","77"
"Marlborough School District","","2014-2015","Grade 5","Math","Total Number Tested","Number","77"
"Marlborough School District","","2014-2015","Grade 6","ELA","Total Number Tested","Number","98"
"Marlborough School District","","2014-2015","Grade 6","Math","Total Number Tested","Number","98"
"Marlborough School District","","2014-2015","Grade 7","ELA","Total Number Tested","Number","-6666"
"Marlborough School District","","2014-2015","Grade 7","Math","Total Number Tested","Number","-6666"
"Marlborough School District","","2014-2015","Grade 8","ELA","Total Number Tested","Number","-6666"
"Marlborough School District","","2014-2015","Grade 8","Math","Total Number Tested","Number","-6666"
"Marlborough School District","","2014-2015","All","ELA","Smarter Balanced Participation Rate","Percent","99.7"
"Marlborough School District","","2014-2015","All","Math","Smarter Balanced Participation Rate","Percent","99.7"
"Marlborough School District","","2014-2015","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2014-2015","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2014-2015","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","99"
"Marlborough School District","","2014-2015","Grade 3","Math","Smarter Balanced Participation Rate","Percent","99"
"Marlborough School District","","2014-2015","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2014-2015","Grade 4","Math","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2014-2015","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2014-2015","Grade 5","Math","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2014-2015","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2014-2015","Grade 6","Math","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2014-2015","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2014-2015","Grade 7","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2014-2015","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2014-2015","Grade 8","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2014-2015","All","ELA","Total Number with Scored Tests","Number","366"
"Marlborough School District","","2014-2015","All","Math","Total Number with Scored Tests","Number","366"
"Marlborough School District","","2014-2015","Grade 11","ELA","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2014-2015","Grade 11","Math","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2014-2015","Grade 3","ELA","Total Number with Scored Tests","Number","96"
"Marlborough School District","","2014-2015","Grade 3","Math","Total Number with Scored Tests","Number","96"
"Marlborough School District","","2014-2015","Grade 4","ELA","Total Number with Scored Tests","Number","95"
"Marlborough School District","","2014-2015","Grade 4","Math","Total Number with Scored Tests","Number","95"
"Marlborough School District","","2014-2015","Grade 5","ELA","Total Number with Scored Tests","Number","77"
"Marlborough School District","","2014-2015","Grade 5","Math","Total Number with Scored Tests","Number","77"
"Marlborough School District","","2014-2015","Grade 6","ELA","Total Number with Scored Tests","Number","98"
"Marlborough School District","","2014-2015","Grade 6","Math","Total Number with Scored Tests","Number","98"
"Marlborough School District","","2014-2015","Grade 7","ELA","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2014-2015","Grade 7","Math","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2014-2015","Grade 8","ELA","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2014-2015","Grade 8","Math","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2014-2015","All","ELA","AverageVSS","Number","-6666"
"Marlborough School District","","2014-2015","All","Math","AverageVSS","Number","-6666"
"Marlborough School District","","2014-2015","Grade 11","ELA","AverageVSS","Number","-6666"
"Marlborough School District","","2014-2015","Grade 11","Math","AverageVSS","Number","-6666"
"Marlborough School District","","2014-2015","Grade 3","ELA","AverageVSS","Number","2472"
"Marlborough School District","","2014-2015","Grade 3","Math","AverageVSS","Number","2474"
"Marlborough School District","","2014-2015","Grade 4","ELA","AverageVSS","Number","2512"
"Marlborough School District","","2014-2015","Grade 4","Math","AverageVSS","Number","2522"
"Marlborough School District","","2014-2015","Grade 5","ELA","AverageVSS","Number","2558"
"Marlborough School District","","2014-2015","Grade 5","Math","AverageVSS","Number","2540"
"Marlborough School District","","2014-2015","Grade 6","ELA","AverageVSS","Number","2583"
"Marlborough School District","","2014-2015","Grade 6","Math","AverageVSS","Number","2560"
"Marlborough School District","","2014-2015","Grade 7","ELA","AverageVSS","Number","-6666"
"Marlborough School District","","2014-2015","Grade 7","Math","AverageVSS","Number","-6666"
"Marlborough School District","","2014-2015","Grade 8","ELA","AverageVSS","Number","-6666"
"Marlborough School District","","2014-2015","Grade 8","Math","AverageVSS","Number","-6666"
"Marlborough School District","","2015-2016","All","ELA","Total Number of Students","Number","341"
"Marlborough School District","","2015-2016","All","Math","Total Number of Students","Number","341"
"Marlborough School District","","2015-2016","Grade 11","ELA","Total Number of Students","Number","-6666"
"Marlborough School District","","2015-2016","Grade 11","Math","Total Number of Students","Number","-6666"
"Marlborough School District","","2015-2016","Grade 3","ELA","Total Number of Students","Number","81"
"Marlborough School District","","2015-2016","Grade 3","Math","Total Number of Students","Number","81"
"Marlborough School District","","2015-2016","Grade 4","ELA","Total Number of Students","Number","98"
"Marlborough School District","","2015-2016","Grade 4","Math","Total Number of Students","Number","98"
"Marlborough School District","","2015-2016","Grade 5","ELA","Total Number of Students","Number","92"
"Marlborough School District","","2015-2016","Grade 5","Math","Total Number of Students","Number","92"
"Marlborough School District","","2015-2016","Grade 6","ELA","Total Number of Students","Number","70"
"Marlborough School District","","2015-2016","Grade 6","Math","Total Number of Students","Number","70"
"Marlborough School District","","2015-2016","Grade 7","ELA","Total Number of Students","Number","-6666"
"Marlborough School District","","2015-2016","Grade 7","Math","Total Number of Students","Number","-6666"
"Marlborough School District","","2015-2016","Grade 8","ELA","Total Number of Students","Number","-6666"
"Marlborough School District","","2015-2016","Grade 8","Math","Total Number of Students","Number","-6666"
"Marlborough School District","","2015-2016","All","ELA","Total Number Tested","Number","340"
"Marlborough School District","","2015-2016","All","Math","Total Number Tested","Number","339"
"Marlborough School District","","2015-2016","Grade 11","ELA","Total Number Tested","Number","-6666"
"Marlborough School District","","2015-2016","Grade 11","Math","Total Number Tested","Number","-6666"
"Marlborough School District","","2015-2016","Grade 3","ELA","Total Number Tested","Number","80"
"Marlborough School District","","2015-2016","Grade 3","Math","Total Number Tested","Number","80"
"Marlborough School District","","2015-2016","Grade 4","ELA","Total Number Tested","Number","98"
"Marlborough School District","","2015-2016","Grade 4","Math","Total Number Tested","Number","98"
"Marlborough School District","","2015-2016","Grade 5","ELA","Total Number Tested","Number","92"
"Marlborough School District","","2015-2016","Grade 5","Math","Total Number Tested","Number","91"
"Marlborough School District","","2015-2016","Grade 6","ELA","Total Number Tested","Number","70"
"Marlborough School District","","2015-2016","Grade 6","Math","Total Number Tested","Number","70"
"Marlborough School District","","2015-2016","Grade 7","ELA","Total Number Tested","Number","-6666"
"Marlborough School District","","2015-2016","Grade 7","Math","Total Number Tested","Number","-6666"
"Marlborough School District","","2015-2016","Grade 8","ELA","Total Number Tested","Number","-6666"
"Marlborough School District","","2015-2016","Grade 8","Math","Total Number Tested","Number","-6666"
"Marlborough School District","","2015-2016","All","ELA","Smarter Balanced Participation Rate","Percent","99.7"
"Marlborough School District","","2015-2016","All","Math","Smarter Balanced Participation Rate","Percent","99.4"
"Marlborough School District","","2015-2016","Grade 11","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2015-2016","Grade 11","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2015-2016","Grade 3","ELA","Smarter Balanced Participation Rate","Percent","98.8"
"Marlborough School District","","2015-2016","Grade 3","Math","Smarter Balanced Participation Rate","Percent","98.8"
"Marlborough School District","","2015-2016","Grade 4","ELA","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2015-2016","Grade 4","Math","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2015-2016","Grade 5","ELA","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2015-2016","Grade 5","Math","Smarter Balanced Participation Rate","Percent","98.9"
"Marlborough School District","","2015-2016","Grade 6","ELA","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2015-2016","Grade 6","Math","Smarter Balanced Participation Rate","Percent","100"
"Marlborough School District","","2015-2016","Grade 7","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2015-2016","Grade 7","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2015-2016","Grade 8","ELA","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2015-2016","Grade 8","Math","Smarter Balanced Participation Rate","Percent","-6666"
"Marlborough School District","","2015-2016","All","ELA","Total Number with Scored Tests","Number","340"
"Marlborough School District","","2015-2016","All","Math","Total Number with Scored Tests","Number","339"
"Marlborough School District","","2015-2016","Grade 11","ELA","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2015-2016","Grade 11","Math","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2015-2016","Grade 3","ELA","Total Number with Scored Tests","Number","80"
"Marlborough School District","","2015-2016","Grade 3","Math","Total Number with Scored Tests","Number","80"
"Marlborough School District","","2015-2016","Grade 4","ELA","Total Number with Scored Tests","Number","98"
"Marlborough School District","","2015-2016","Grade 4","Math","Total Number with Scored Tests","Number","98"
"Marlborough School District","","2015-2016","Grade 5","ELA","Total Number with Scored Tests","Number","92"
"Marlborough School District","","2015-2016","Grade 5","Math","Total Number with Scored Tests","Number","91"
"Marlborough School District","","2015-2016","Grade 6","ELA","Total Number with Scored Tests","Number","70"
"Marlborough School District","","2015-2016","Grade 6","Math","Total Number with Scored Tests","Number","70"
"Marlborough School District","","2015-2016","Grade 7","ELA","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2015-2016","Grade 7","Math","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2015-2016","Grade 8","ELA","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2015-2016","Grade 8","Math","Total Number with Scored Tests","Number","-6666"
"Marlborough School District","","2015-2016","All","ELA","AverageVSS","Number","-6666"
"Marlborough School District","","2015-2016","All","Math","AverageVSS","Number","-6666"
"Marlborough School District","","2015-2016","Grade 11","ELA","AverageVSS","Number","-6666"
"Marlborough School District","","2015-2016","Grade 11","Math","AverageVSS","Number","-6666"
"Marlborough School District","","2015-2016","Grade 3","ELA","AverageVSS","Number","2470"
"Marlborough School District","","2015-2016","Grade 3","Math","AverageVSS","Number","2474"
"Marlborough School District","","2015-2016","Grade 4","ELA","AverageVSS","Number","2507"
"Marlborough School District","","2015-2016","Grade 4","Math","AverageVSS","Number","2516"
"Marlborough School District","","2015-2016","Grade 5","ELA","AverageVSS","Number","2562"
"Marlborough School District","","2015-2016","Grade 5","Math","AverageVSS","Number","2575"
"Marlborough School District","","2015-2016","Grade 6","ELA","AverageVSS","Number","2603"
"Marlborough School District","","2015-2016","Grade 6","Math","AverageVSS","Number","2607"
"Marlborough School District","","2015-2016","Grade 7","ELA","AverageVSS","Number","-6666"
"Marlborough School District","","2015-2016","Grade 7","Math","AverageVSS","Number","-6666"
"Marlborough School District","","2015-2016","Grade 8","ELA","AverageVSS","Number","-6666"
"Marlborough School District","","2015-2016","Grade 8","Math","AverageVSS","Number","-6666"
"Meriden School District","900946520","2014-2015","All","ELA","Total Number of Students","Number","3858"
"Meriden School District","900946520","2014-2015","All","Math","Total Number of Students","Number","3853"
"Meriden School District","900946520","2014-2015","Grade 11","ELA","Total Number of Students","Number","441"
"Meriden School District","900946520","2014-2015","Grade 11","Math","Total Number of Students","Number","441"
"Meriden School District","900946520","2014-2015","Grade 3","ELA","Total Number of Students","Number","676"
"Meriden School District","900946520","2014-2015","Grade 3","Math","Total Number of Students","Number","675"
"Meriden School District","900946520","2014-2015","Grade 4","ELA","Total Number of Students","Number","641"
"Meriden School District","900946520","2014-2015","Grade 4","Math","Total Number of Students","Number","641"
"Meriden School District","900946520","2014-2015","Grade 5","ELA","Total Number of Students","Number","654"
"Meriden School District","900946520","2014-2015","Grade 5","Math","Total Number of Students","Number","653"
"Meriden School District","900946520","2014-2015","Grade 6","ELA","Total Number of Students","Number","474"
"Meriden School District","900946520","2014-2015","Grade 6","Math","Total Number of Students","Number","473"
