"District","FIPS","Year","Subject","Variable","Measure Type","Value"
"Portland School District","900761800","2014-2015","ELA","Level 3 Met Count","Number","265"
"Portland School District","900761800","2014-2015","Math","Level 3 Met Count","Number","225"
"Portland School District","900761800","2014-2015","ELA","Level 3 Met Percent","Percent","38.1"
"Portland School District","900761800","2014-2015","Math","Level 3 Met Percent","Percent","32.3"
"Portland School District","900761800","2014-2015","ELA","Level 4 Exceeded Count","Number","277"
"Portland School District","900761800","2014-2015","Math","Level 4 Exceeded Count","Number","189"
"Portland School District","900761800","2014-2015","ELA","Level 4 Exceeded Percent","Percent","39.8"
"Portland School District","900761800","2014-2015","Math","Level 4 Exceeded Percent","Percent","27.2"
"Portland School District","900761800","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","542"
"Portland School District","900761800","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","414"
"Portland School District","900761800","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","77.9"
"Portland School District","900761800","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","59.5"
"Portland School District","900761800","2015-2016","ELA","Total Number of Students","Number","644"
"Portland School District","900761800","2015-2016","Math","Total Number of Students","Number","644"
"Portland School District","900761800","2015-2016","ELA","Total Number Tested","Number","629"
"Portland School District","900761800","2015-2016","Math","Total Number Tested","Number","629"
"Portland School District","900761800","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","97.7"
"Portland School District","900761800","2015-2016","Math","Smarter Balanced Participation Rate","Percent","97.7"
"Portland School District","900761800","2015-2016","ELA","Total Number with Scored Tests","Number","629"
"Portland School District","900761800","2015-2016","Math","Total Number with Scored Tests","Number","629"
"Portland School District","900761800","2015-2016","ELA","Level 1 Not Met Count","Number","47"
"Portland School District","900761800","2015-2016","Math","Level 1 Not Met Count","Number","76"
"Portland School District","900761800","2015-2016","ELA","Level 1 Not Met Percent","Percent","7.5"
"Portland School District","900761800","2015-2016","Math","Level 1 Not Met Percent","Percent","12.1"
"Portland School District","900761800","2015-2016","ELA","Level 2 Approaching Count","Number","106"
"Portland School District","900761800","2015-2016","Math","Level 2 Approaching Count","Number","156"
"Portland School District","900761800","2015-2016","ELA","Level 2 Approaching Percent","Percent","16.9"
"Portland School District","900761800","2015-2016","Math","Level 2 Approaching Percent","Percent","24.8"
"Portland School District","900761800","2015-2016","ELA","Level 3 Met Count","Number","215"
"Portland School District","900761800","2015-2016","Math","Level 3 Met Count","Number","199"
"Portland School District","900761800","2015-2016","ELA","Level 3 Met Percent","Percent","34.2"
"Portland School District","900761800","2015-2016","Math","Level 3 Met Percent","Percent","31.6"
"Portland School District","900761800","2015-2016","ELA","Level 4 Exceeded Count","Number","261"
"Portland School District","900761800","2015-2016","Math","Level 4 Exceeded Count","Number","198"
"Portland School District","900761800","2015-2016","ELA","Level 4 Exceeded Percent","Percent","41.5"
"Portland School District","900761800","2015-2016","Math","Level 4 Exceeded Percent","Percent","31.5"
"Portland School District","900761800","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","476"
"Portland School District","900761800","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","397"
"Portland School District","900761800","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","75.7"
"Portland School District","900761800","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","63.1"
"Preston School District","","2014-2015","ELA","Total Number of Students","Number","282"
"Preston School District","","2014-2015","Math","Total Number of Students","Number","282"
"Preston School District","","2014-2015","ELA","Total Number Tested","Number","263"
"Preston School District","","2014-2015","Math","Total Number Tested","Number","262"
"Preston School District","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","93.3"
"Preston School District","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","92.9"
"Preston School District","","2014-2015","ELA","Total Number with Scored Tests","Number","263"
"Preston School District","","2014-2015","Math","Total Number with Scored Tests","Number","262"
"Preston School District","","2014-2015","ELA","Level 1 Not Met Count","Number","41"
"Preston School District","","2014-2015","Math","Level 1 Not Met Count","Number","39"
"Preston School District","","2014-2015","ELA","Level 1 Not Met Percent","Percent","15.6"
"Preston School District","","2014-2015","Math","Level 1 Not Met Percent","Percent","14.9"
"Preston School District","","2014-2015","ELA","Level 2 Approaching Count","Number","50"
"Preston School District","","2014-2015","Math","Level 2 Approaching Count","Number","86"
"Preston School District","","2014-2015","ELA","Level 2 Approaching Percent","Percent","19.0"
"Preston School District","","2014-2015","Math","Level 2 Approaching Percent","Percent","32.8"
"Preston School District","","2014-2015","ELA","Level 3 Met Count","Number","98"
"Preston School District","","2014-2015","Math","Level 3 Met Count","Number","82"
"Preston School District","","2014-2015","ELA","Level 3 Met Percent","Percent","37.3"
"Preston School District","","2014-2015","Math","Level 3 Met Percent","Percent","31.3"
"Preston School District","","2014-2015","ELA","Level 4 Exceeded Count","Number","74"
"Preston School District","","2014-2015","Math","Level 4 Exceeded Count","Number","55"
"Preston School District","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","28.1"
"Preston School District","","2014-2015","Math","Level 4 Exceeded Percent","Percent","21.0"
"Preston School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","172"
"Preston School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","137"
"Preston School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","65.4"
"Preston School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","52.3"
"Preston School District","","2015-2016","ELA","Total Number of Students","Number","281"
"Preston School District","","2015-2016","Math","Total Number of Students","Number","281"
"Preston School District","","2015-2016","ELA","Total Number Tested","Number","269"
"Preston School District","","2015-2016","Math","Total Number Tested","Number","268"
"Preston School District","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","95.7"
"Preston School District","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","95.4"
"Preston School District","","2015-2016","ELA","Total Number with Scored Tests","Number","269"
"Preston School District","","2015-2016","Math","Total Number with Scored Tests","Number","268"
"Preston School District","","2015-2016","ELA","Level 1 Not Met Count","Number","33"
"Preston School District","","2015-2016","Math","Level 1 Not Met Count","Number","34"
"Preston School District","","2015-2016","ELA","Level 1 Not Met Percent","Percent","12.3"
"Preston School District","","2015-2016","Math","Level 1 Not Met Percent","Percent","12.7"
"Preston School District","","2015-2016","ELA","Level 2 Approaching Count","Number","57"
"Preston School District","","2015-2016","Math","Level 2 Approaching Count","Number","86"
"Preston School District","","2015-2016","ELA","Level 2 Approaching Percent","Percent","21.2"
"Preston School District","","2015-2016","Math","Level 2 Approaching Percent","Percent","32.1"
"Preston School District","","2015-2016","ELA","Level 3 Met Count","Number","100"
"Preston School District","","2015-2016","Math","Level 3 Met Count","Number","78"
"Preston School District","","2015-2016","ELA","Level 3 Met Percent","Percent","37.2"
"Preston School District","","2015-2016","Math","Level 3 Met Percent","Percent","29.1"
"Preston School District","","2015-2016","ELA","Level 4 Exceeded Count","Number","79"
"Preston School District","","2015-2016","Math","Level 4 Exceeded Count","Number","70"
"Preston School District","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","29.4"
"Preston School District","","2015-2016","Math","Level 4 Exceeded Percent","Percent","26.1"
"Preston School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","179"
"Preston School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","148"
"Preston School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","66.5"
"Preston School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","55.2"
"Putnam School District","901562710","2014-2015","ELA","Total Number of Students","Number","630"
"Putnam School District","901562710","2014-2015","Math","Total Number of Students","Number","630"
"Putnam School District","901562710","2014-2015","ELA","Total Number Tested","Number","616"
"Putnam School District","901562710","2014-2015","Math","Total Number Tested","Number","619"
"Putnam School District","901562710","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","97.8"
"Putnam School District","901562710","2014-2015","Math","Smarter Balanced Participation Rate","Percent","98.3"
"Putnam School District","901562710","2014-2015","ELA","Total Number with Scored Tests","Number","608"
"Putnam School District","901562710","2014-2015","Math","Total Number with Scored Tests","Number","611"
"Putnam School District","901562710","2014-2015","ELA","Level 1 Not Met Count","Number","163"
"Putnam School District","901562710","2014-2015","Math","Level 1 Not Met Count","Number","242"
"Putnam School District","901562710","2014-2015","ELA","Level 1 Not Met Percent","Percent","26.8"
"Putnam School District","901562710","2014-2015","Math","Level 1 Not Met Percent","Percent","39.6"
"Putnam School District","901562710","2014-2015","ELA","Level 2 Approaching Count","Number","177"
"Putnam School District","901562710","2014-2015","Math","Level 2 Approaching Count","Number","215"
"Putnam School District","901562710","2014-2015","ELA","Level 2 Approaching Percent","Percent","29.1"
"Putnam School District","901562710","2014-2015","Math","Level 2 Approaching Percent","Percent","35.2"
"Putnam School District","901562710","2014-2015","ELA","Level 3 Met Count","Number","173"
"Putnam School District","901562710","2014-2015","Math","Level 3 Met Count","Number","105"
"Putnam School District","901562710","2014-2015","ELA","Level 3 Met Percent","Percent","28.5"
"Putnam School District","901562710","2014-2015","Math","Level 3 Met Percent","Percent","17.2"
"Putnam School District","901562710","2014-2015","ELA","Level 4 Exceeded Count","Number","95"
"Putnam School District","901562710","2014-2015","Math","Level 4 Exceeded Count","Number","49"
"Putnam School District","901562710","2014-2015","ELA","Level 4 Exceeded Percent","Percent","15.6"
"Putnam School District","901562710","2014-2015","Math","Level 4 Exceeded Percent","Percent","8.0"
"Putnam School District","901562710","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","268"
"Putnam School District","901562710","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","154"
"Putnam School District","901562710","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","44.1"
"Putnam School District","901562710","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","25.2"
"Putnam School District","901562710","2015-2016","ELA","Total Number of Students","Number","537"
"Putnam School District","901562710","2015-2016","Math","Total Number of Students","Number","536"
"Putnam School District","901562710","2015-2016","ELA","Total Number Tested","Number","523"
"Putnam School District","901562710","2015-2016","Math","Total Number Tested","Number","521"
"Putnam School District","901562710","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","97.4"
"Putnam School District","901562710","2015-2016","Math","Smarter Balanced Participation Rate","Percent","97.2"
"Putnam School District","901562710","2015-2016","ELA","Total Number with Scored Tests","Number","522"
"Putnam School District","901562710","2015-2016","Math","Total Number with Scored Tests","Number","520"
"Putnam School District","901562710","2015-2016","ELA","Level 1 Not Met Count","Number","147"
"Putnam School District","901562710","2015-2016","Math","Level 1 Not Met Count","Number","171"
"Putnam School District","901562710","2015-2016","ELA","Level 1 Not Met Percent","Percent","28.2"
"Putnam School District","901562710","2015-2016","Math","Level 1 Not Met Percent","Percent","32.9"
"Putnam School District","901562710","2015-2016","ELA","Level 2 Approaching Count","Number","119"
"Putnam School District","901562710","2015-2016","Math","Level 2 Approaching Count","Number","160"
"Putnam School District","901562710","2015-2016","ELA","Level 2 Approaching Percent","Percent","22.8"
"Putnam School District","901562710","2015-2016","Math","Level 2 Approaching Percent","Percent","30.8"
"Putnam School District","901562710","2015-2016","ELA","Level 3 Met Count","Number","160"
"Putnam School District","901562710","2015-2016","Math","Level 3 Met Count","Number","118"
"Putnam School District","901562710","2015-2016","ELA","Level 3 Met Percent","Percent","30.7"
"Putnam School District","901562710","2015-2016","Math","Level 3 Met Percent","Percent","22.7"
"Putnam School District","901562710","2015-2016","ELA","Level 4 Exceeded Count","Number","96"
"Putnam School District","901562710","2015-2016","Math","Level 4 Exceeded Count","Number","71"
"Putnam School District","901562710","2015-2016","ELA","Level 4 Exceeded Percent","Percent","18.4"
"Putnam School District","901562710","2015-2016","Math","Level 4 Exceeded Percent","Percent","13.7"
"Putnam School District","901562710","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","256"
"Putnam School District","901562710","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","189"
"Putnam School District","901562710","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","49.0"
"Putnam School District","901562710","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","36.3"
"Redding School District","","2014-2015","ELA","Total Number of Students","Number","696"
"Redding School District","","2014-2015","Math","Total Number of Students","Number","695"
"Redding School District","","2014-2015","ELA","Total Number Tested","Number","643"
"Redding School District","","2014-2015","Math","Total Number Tested","Number","629"
"Redding School District","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","92.4"
"Redding School District","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","90.5"
"Redding School District","","2014-2015","ELA","Total Number with Scored Tests","Number","636"
"Redding School District","","2014-2015","Math","Total Number with Scored Tests","Number","628"
"Redding School District","","2014-2015","ELA","Level 1 Not Met Count","Number","52"
"Redding School District","","2014-2015","Math","Level 1 Not Met Count","Number","69"
"Redding School District","","2014-2015","ELA","Level 1 Not Met Percent","Percent","8.2"
"Redding School District","","2014-2015","Math","Level 1 Not Met Percent","Percent","11.0"
"Redding School District","","2014-2015","ELA","Level 2 Approaching Count","Number","94"
"Redding School District","","2014-2015","Math","Level 2 Approaching Count","Number","135"
"Redding School District","","2014-2015","ELA","Level 2 Approaching Percent","Percent","14.8"
"Redding School District","","2014-2015","Math","Level 2 Approaching Percent","Percent","21.5"
"Redding School District","","2014-2015","ELA","Level 3 Met Count","Number","234"
"Redding School District","","2014-2015","Math","Level 3 Met Count","Number","192"
"Redding School District","","2014-2015","ELA","Level 3 Met Percent","Percent","36.8"
"Redding School District","","2014-2015","Math","Level 3 Met Percent","Percent","30.6"
"Redding School District","","2014-2015","ELA","Level 4 Exceeded Count","Number","256"
"Redding School District","","2014-2015","Math","Level 4 Exceeded Count","Number","232"
"Redding School District","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","40.3"
"Redding School District","","2014-2015","Math","Level 4 Exceeded Percent","Percent","36.9"
"Redding School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","490"
"Redding School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","424"
"Redding School District","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","77.0"
"Redding School District","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","67.5"
"Redding School District","","2015-2016","ELA","Total Number of Students","Number","662"
"Redding School District","","2015-2016","Math","Total Number of Students","Number","662"
"Redding School District","","2015-2016","ELA","Total Number Tested","Number","654"
"Redding School District","","2015-2016","Math","Total Number Tested","Number","654"
"Redding School District","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","98.8"
"Redding School District","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","98.8"
"Redding School District","","2015-2016","ELA","Total Number with Scored Tests","Number","654"
"Redding School District","","2015-2016","Math","Total Number with Scored Tests","Number","654"
"Redding School District","","2015-2016","ELA","Level 1 Not Met Count","Number","45"
"Redding School District","","2015-2016","Math","Level 1 Not Met Count","Number","51"
"Redding School District","","2015-2016","ELA","Level 1 Not Met Percent","Percent","6.9"
"Redding School District","","2015-2016","Math","Level 1 Not Met Percent","Percent","7.8"
"Redding School District","","2015-2016","ELA","Level 2 Approaching Count","Number","91"
"Redding School District","","2015-2016","Math","Level 2 Approaching Count","Number","119"
"Redding School District","","2015-2016","ELA","Level 2 Approaching Percent","Percent","13.9"
"Redding School District","","2015-2016","Math","Level 2 Approaching Percent","Percent","18.2"
"Redding School District","","2015-2016","ELA","Level 3 Met Count","Number","228"
"Redding School District","","2015-2016","Math","Level 3 Met Count","Number","201"
"Redding School District","","2015-2016","ELA","Level 3 Met Percent","Percent","34.9"
"Redding School District","","2015-2016","Math","Level 3 Met Percent","Percent","30.7"
"Redding School District","","2015-2016","ELA","Level 4 Exceeded Count","Number","290"
"Redding School District","","2015-2016","Math","Level 4 Exceeded Count","Number","283"
"Redding School District","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","44.3"
"Redding School District","","2015-2016","Math","Level 4 Exceeded Percent","Percent","43.3"
"Redding School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","518"
"Redding School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","484"
"Redding School District","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","79.2"
"Redding School District","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","74.0"
"Regional School District 01","","2014-2015","ELA","Total Number of Students","Number","112"
"Regional School District 01","","2014-2015","Math","Total Number of Students","Number","112"
"Regional School District 01","","2014-2015","ELA","Total Number Tested","Number","96"
"Regional School District 01","","2014-2015","Math","Total Number Tested","Number","105"
"Regional School District 01","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","85.7"
"Regional School District 01","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","93.8"
"Regional School District 01","","2014-2015","ELA","Total Number with Scored Tests","Number","96"
"Regional School District 01","","2014-2015","Math","Total Number with Scored Tests","Number","103"
"Regional School District 01","","2014-2015","ELA","Level 1 Not Met Count","Number","15"
"Regional School District 01","","2014-2015","Math","Level 1 Not Met Count","Number","34"
"Regional School District 01","","2014-2015","ELA","Level 1 Not Met Percent","Percent","15.6"
"Regional School District 01","","2014-2015","Math","Level 1 Not Met Percent","Percent","33.0"
"Regional School District 01","","2014-2015","ELA","Level 2 Approaching Count","Number","27"
"Regional School District 01","","2014-2015","Math","Level 2 Approaching Count","Number","35"
"Regional School District 01","","2014-2015","ELA","Level 2 Approaching Percent","Percent","28.1"
"Regional School District 01","","2014-2015","Math","Level 2 Approaching Percent","Percent","34.0"
"Regional School District 01","","2014-2015","ELA","Level 3 Met Count","Number","34"
"Regional School District 01","","2014-2015","Math","Level 3 Met Count","Number","26"
"Regional School District 01","","2014-2015","ELA","Level 3 Met Percent","Percent","35.4"
"Regional School District 01","","2014-2015","Math","Level 3 Met Percent","Percent","25.2"
"Regional School District 01","","2014-2015","ELA","Level 4 Exceeded Count","Number","20"
"Regional School District 01","","2014-2015","Math","Level 4 Exceeded Count","Number","8"
"Regional School District 01","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","20.8"
"Regional School District 01","","2014-2015","Math","Level 4 Exceeded Percent","Percent","7.8"
"Regional School District 01","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","54"
"Regional School District 01","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","34"
"Regional School District 01","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","56.3"
"Regional School District 01","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","33.0"
"Regional School District 01","","2015-2016","ELA","Total Number of Students","Number","6"
"Regional School District 01","","2015-2016","Math","Total Number of Students","Number","6"
"Regional School District 01","","2015-2016","ELA","Total Number Tested","Number","6"
"Regional School District 01","","2015-2016","Math","Total Number Tested","Number","6"
"Regional School District 01","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","-9999"
"Regional School District 01","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","-9999"
"Regional School District 01","","2015-2016","ELA","Total Number with Scored Tests","Number","-9999"
"Regional School District 01","","2015-2016","Math","Total Number with Scored Tests","Number","-9999"
"Regional School District 01","","2015-2016","ELA","Level 1 Not Met Count","Number","-9999"
"Regional School District 01","","2015-2016","Math","Level 1 Not Met Count","Number","-9999"
"Regional School District 01","","2015-2016","ELA","Level 1 Not Met Percent","Percent","-9999"
"Regional School District 01","","2015-2016","Math","Level 1 Not Met Percent","Percent","-9999"
"Regional School District 01","","2015-2016","ELA","Level 2 Approaching Count","Number","-9999"
"Regional School District 01","","2015-2016","Math","Level 2 Approaching Count","Number","-9999"
"Regional School District 01","","2015-2016","ELA","Level 2 Approaching Percent","Percent","-9999"
"Regional School District 01","","2015-2016","Math","Level 2 Approaching Percent","Percent","-9999"
"Regional School District 01","","2015-2016","ELA","Level 3 Met Count","Number","-9999"
"Regional School District 01","","2015-2016","Math","Level 3 Met Count","Number","-9999"
"Regional School District 01","","2015-2016","ELA","Level 3 Met Percent","Percent","-9999"
"Regional School District 01","","2015-2016","Math","Level 3 Met Percent","Percent","-9999"
"Regional School District 01","","2015-2016","ELA","Level 4 Exceeded Count","Number","-9999"
"Regional School District 01","","2015-2016","Math","Level 4 Exceeded Count","Number","-9999"
"Regional School District 01","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","-9999"
"Regional School District 01","","2015-2016","Math","Level 4 Exceeded Percent","Percent","-9999"
"Regional School District 01","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","-9999"
"Regional School District 01","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","-9999"
"Regional School District 01","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","-9999"
"Regional School District 01","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","-9999"
"Regional School District 04","","2014-2015","ELA","Total Number of Students","Number","481"
"Regional School District 04","","2014-2015","Math","Total Number of Students","Number","481"
"Regional School District 04","","2014-2015","ELA","Total Number Tested","Number","471"
"Regional School District 04","","2014-2015","Math","Total Number Tested","Number","470"
"Regional School District 04","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","97.9"
"Regional School District 04","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","97.7"
"Regional School District 04","","2014-2015","ELA","Total Number with Scored Tests","Number","469"
"Regional School District 04","","2014-2015","Math","Total Number with Scored Tests","Number","470"
"Regional School District 04","","2014-2015","ELA","Level 1 Not Met Count","Number","26"
"Regional School District 04","","2014-2015","Math","Level 1 Not Met Count","Number","96"
"Regional School District 04","","2014-2015","ELA","Level 1 Not Met Percent","Percent","5.5"
"Regional School District 04","","2014-2015","Math","Level 1 Not Met Percent","Percent","20.4"
"Regional School District 04","","2014-2015","ELA","Level 2 Approaching Count","Number","89"
"Regional School District 04","","2014-2015","Math","Level 2 Approaching Count","Number","151"
"Regional School District 04","","2014-2015","ELA","Level 2 Approaching Percent","Percent","19.0"
"Regional School District 04","","2014-2015","Math","Level 2 Approaching Percent","Percent","32.1"
"Regional School District 04","","2014-2015","ELA","Level 3 Met Count","Number","230"
"Regional School District 04","","2014-2015","Math","Level 3 Met Count","Number","147"
"Regional School District 04","","2014-2015","ELA","Level 3 Met Percent","Percent","49.0"
"Regional School District 04","","2014-2015","Math","Level 3 Met Percent","Percent","31.3"
"Regional School District 04","","2014-2015","ELA","Level 4 Exceeded Count","Number","124"
"Regional School District 04","","2014-2015","Math","Level 4 Exceeded Count","Number","76"
"Regional School District 04","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","26.4"
"Regional School District 04","","2014-2015","Math","Level 4 Exceeded Percent","Percent","16.2"
"Regional School District 04","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","354"
"Regional School District 04","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","223"
"Regional School District 04","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","75.5"
"Regional School District 04","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","47.4"
"Regional School District 04","","2015-2016","ELA","Total Number of Students","Number","311"
"Regional School District 04","","2015-2016","Math","Total Number of Students","Number","311"
"Regional School District 04","","2015-2016","ELA","Total Number Tested","Number","308"
"Regional School District 04","","2015-2016","Math","Total Number Tested","Number","308"
"Regional School District 04","","2015-2016","ELA","Smarter Balanced Participation Rate","Percent","99.0"
"Regional School District 04","","2015-2016","Math","Smarter Balanced Participation Rate","Percent","99.0"
"Regional School District 04","","2015-2016","ELA","Total Number with Scored Tests","Number","308"
"Regional School District 04","","2015-2016","Math","Total Number with Scored Tests","Number","308"
"Regional School District 04","","2015-2016","ELA","Level 1 Not Met Count","Number","38"
"Regional School District 04","","2015-2016","Math","Level 1 Not Met Count","Number","61"
"Regional School District 04","","2015-2016","ELA","Level 1 Not Met Percent","Percent","12.3"
"Regional School District 04","","2015-2016","Math","Level 1 Not Met Percent","Percent","19.8"
"Regional School District 04","","2015-2016","ELA","Level 2 Approaching Count","Number","62"
"Regional School District 04","","2015-2016","Math","Level 2 Approaching Count","Number","80"
"Regional School District 04","","2015-2016","ELA","Level 2 Approaching Percent","Percent","20.1"
"Regional School District 04","","2015-2016","Math","Level 2 Approaching Percent","Percent","26.0"
"Regional School District 04","","2015-2016","ELA","Level 3 Met Count","Number","134"
"Regional School District 04","","2015-2016","Math","Level 3 Met Count","Number","90"
"Regional School District 04","","2015-2016","ELA","Level 3 Met Percent","Percent","43.5"
"Regional School District 04","","2015-2016","Math","Level 3 Met Percent","Percent","29.2"
"Regional School District 04","","2015-2016","ELA","Level 4 Exceeded Count","Number","74"
"Regional School District 04","","2015-2016","Math","Level 4 Exceeded Count","Number","77"
"Regional School District 04","","2015-2016","ELA","Level 4 Exceeded Percent","Percent","24.0"
"Regional School District 04","","2015-2016","Math","Level 4 Exceeded Percent","Percent","25.0"
"Regional School District 04","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Count","Number","208"
"Regional School District 04","","2015-2016","Math","Level 3 & 4 Met or Exceeded Count","Number","167"
"Regional School District 04","","2015-2016","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","67.5"
"Regional School District 04","","2015-2016","Math","Level 3 & 4 Met or Exceeded Percent","Percent","54.2"
"Regional School District 05","","2014-2015","ELA","Total Number of Students","Number","1158"
"Regional School District 05","","2014-2015","Math","Total Number of Students","Number","1158"
"Regional School District 05","","2014-2015","ELA","Total Number Tested","Number","1096"
"Regional School District 05","","2014-2015","Math","Total Number Tested","Number","1101"
"Regional School District 05","","2014-2015","ELA","Smarter Balanced Participation Rate","Percent","94.6"
"Regional School District 05","","2014-2015","Math","Smarter Balanced Participation Rate","Percent","95.1"
"Regional School District 05","","2014-2015","ELA","Total Number with Scored Tests","Number","1096"
"Regional School District 05","","2014-2015","Math","Total Number with Scored Tests","Number","1099"
"Regional School District 05","","2014-2015","ELA","Level 1 Not Met Count","Number","164"
"Regional School District 05","","2014-2015","Math","Level 1 Not Met Count","Number","236"
"Regional School District 05","","2014-2015","ELA","Level 1 Not Met Percent","Percent","15.0"
"Regional School District 05","","2014-2015","Math","Level 1 Not Met Percent","Percent","21.5"
"Regional School District 05","","2014-2015","ELA","Level 2 Approaching Count","Number","173"
"Regional School District 05","","2014-2015","Math","Level 2 Approaching Count","Number","253"
"Regional School District 05","","2014-2015","ELA","Level 2 Approaching Percent","Percent","15.8"
"Regional School District 05","","2014-2015","Math","Level 2 Approaching Percent","Percent","23.0"
"Regional School District 05","","2014-2015","ELA","Level 3 Met Count","Number","424"
"Regional School District 05","","2014-2015","Math","Level 3 Met Count","Number","265"
"Regional School District 05","","2014-2015","ELA","Level 3 Met Percent","Percent","38.7"
"Regional School District 05","","2014-2015","Math","Level 3 Met Percent","Percent","24.1"
"Regional School District 05","","2014-2015","ELA","Level 4 Exceeded Count","Number","335"
"Regional School District 05","","2014-2015","Math","Level 4 Exceeded Count","Number","345"
"Regional School District 05","","2014-2015","ELA","Level 4 Exceeded Percent","Percent","30.6"
"Regional School District 05","","2014-2015","Math","Level 4 Exceeded Percent","Percent","31.4"
"Regional School District 05","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Count","Number","759"
"Regional School District 05","","2014-2015","Math","Level 3 & 4 Met or Exceeded Count","Number","610"
"Regional School District 05","","2014-2015","ELA","Level 3 & 4 Met or Exceeded Percent","Percent","69.3"
"Regional School District 05","","2014-2015","Math","Level 3 & 4 Met or Exceeded Percent","Percent","55.5"
"Regional School District 05","","2015-2016","ELA","Total Number of Students","Number","756"
"Regional School District 05","","2015-2016","Math","Total Number of Students","Number","756"
"Regional School District 05","","2015-2016","ELA","Total Number Tested","Number","738"
"Regional School District 05","","2015-2016","Math","Total Number Tested","Number","738"
